# CHAPTERS CLOSED BEFORE THE BUILD-PROOF RULE EXISTED (11/08/2026)
#
# Check 8 in consistency.py demands that every ✅ chapter carry a BUILD PROOF -- a part count, a
# vfy_fit line, a collision check -- or an explicit "NO MODEL ARTEFACT -- <why>" line saying it has
# nothing to build. The rule was written the day E.1 was caught closed with no staircase in the
# model.
#
# These 24-minus-7 rows predate it. They are NOT declared correct. They are declared UNREVIEWED,
# out loud, on every single run of the guard. Each one needs someone to open its notes and decide:
#   - it has an artefact that simply is not cited -> cite it, delete the line here
#   - it is a dialog / settings / views chapter with nothing to build -> write the NO MODEL
#     ARTEFACT line in its notes, delete the line here
#   - it was closed on reading alone -> demote it to 🟡 and build it
#
# ⚠️ THIS LIST MAY ONLY SHRINK. Adding a row to it to make the guard go green is the exact
# failure it was written to prevent. A new chapter that cannot clear check 8 is not finished.
#
# chapter	why it is here
A.1	part A: general information -- reference chapter, unreviewed
A.2	part A: language selection -- unreviewed
A.3	part A: dialog framework -- unreviewed
A.4	part A: input options -- unreviewed
A.5	part A: project manager -- unreviewed
A.6	part A: global settings -- read off the running installation, not cited as a build
B.1	layer functions -- an operation, not an element; unreviewed
B.2	construction utilities -- unreviewed
B.3	3D object views -- unreviewed
B.4	move and copy -- an operation on existing parts; unreviewed
B.5	display / assign parts -- unreviewed
B.7	choose view -- unreviewed
B.10	insert solids -- unreviewed
B.11	ACIS body reference -- unreviewed
B.12	3D modifications -- unreviewed
B.22	purlins -- purlins WERE built; the notes do not cite the count. Cite it.
E.11	own notes -- not a manual chapter at all; unreviewed
B.9	insert plates -- was NEVER IN THE TABLE until 11/08/2026; the row was added from its notes file, and the guard could not see it before. Unreviewed.
B.6	work frames -- row added to the table 11/08/2026 from its notes file; the guard could not see it before. Unreviewed.
B.8	insert shapes -- row added 11/08/2026. ⚠️ This is the chapter the whole B08 model is named after and it has 820 parts; the notes simply do not cite them. Cite the count.
#
# --- The B.13..B.21 block, added 11/08/2026 -------------------------------------------
# Every one of these had NO ROW IN THE TABLE until today, so no guard could ever see them.
# The rows were reconstructed from the notes files that do exist. B.20 and B.21 were even
# AUDITED in this session -- their notes simply do not state a part count, a vfy_fit line or a
# collision result in any form the guard recognises. That is a citation gap, not necessarily a
# build gap, and each one has to be opened and checked before it can be deleted from here.
B.13	plate editor -- row added 11/08/2026; notes cite no measurement
B.14	drilling -- row added 11/08/2026; the chapter that established holes are irreversible, and it cites no count
B.15	bolts -- row added 11/08/2026; cites no count. See also joints-legacy.tsv
B.16	stiffeners -- row added 11/08/2026; notes cite no measurement
B.17	plate connections -- row added 11/08/2026; notes cite no measurement
B.18	baseplates -- row added 11/08/2026; the base for the anchorage research, and it cites no count
B.19	web angle -- row added 11/08/2026; notes cite no measurement
B.20	shear plates -- AUDITED 10/08 in this programme, yet the notes state no part count. Cite it.
B.21	splice joints -- AUDITED 10/08, same gap. Cite it.
