# RETRACTED CLAIMS — the fuel for qc/consistency.py
#
# Every row is a claim that was once written down as a finding and later DISPROVED by measurement.
# The guard fails the build if any of these phrases appears as a live assertion anywhere in
# knowledge/, the skill, the memory or the root docs.
#
# Quoting a withdrawn claim INSIDE a retraction is correct and expected — the guard allows the
# phrase when it is quoted on its line, or near a retraction marker. The authoritative marker
# list and line-window live in consistency.py (RETRACTION_MARKERS + WINDOW) — the code decides,
# not this header. (Corrected 12/08/2026: this header used to state 14 lines and dead markers.)
#
# ADD A ROW THE MOMENT YOU RETRACT SOMETHING. That is the whole point: the next person to write
# the old sentence gets stopped by a machine instead of by luck.
#
# Columns, tab separated:
#   date        phrase (a distinctive fragment — long enough to be unambiguous)        why it is false
#
date	phrase	why it is false
2026-08-10	Clone (B.4.5) is dialog-only	TakeoverDrills transfers: changed=1 on three identical HE300B beams, each hole at its own beam centre, read back by geometry. B.4 audit.
2026-08-10	five call sequences, selections proven	The five sequences were run without the manual's stated precondition. variant 1 alone gives changed=1.
2026-08-10	moves nothing from code	TakeoverDrills moves real geometry. 5 of 8 variants transfer.
2026-08-10	never re-investigated from scratch	This sentence sat on a claim that was false. Never write a do-not-look-again instruction on a negative result.
2026-08-10	matching Posnum are eligible	The position number is not a gate: changed=1 with no posnum, a different posnum and a matching one alike.
2026-08-10	returns 0 unless `SetInsertMatrix` supplied	SetInsertMatrix was never called when that was written. Calling it with a world UCS and a rotated UCS changes nothing: refId=0 both times. Cause unknown.
2026-08-10	Pass the layer explicitly on every direct creation	UseCurrentLayer(false) with no SetLayer yields the part's own layer. The 88 strays came from UseCurrentLayer(true). layer= is an override, not a requirement.
2026-08-10	Untried: `PsGrid.insert	Tried 10/08 via op gridaxes: addedX=0 addedY=0, census 836->836. B.6.7 is dialog-only, and the reason is structural.
2026-08-10	values still unmeasured	EdgeLayout was measured: kFacet(1) kRadius(2) kRounded(3) kInverted(4) kFold(5) kNotch(6), all six applied and read back.
2026-08-10	the weight cannot be verified	op=props reads a plate's weight through PsObjectProperties without touching the lethal computeObjectWeigth.
2026-08-10	never a fair test	CreateHull was fed the wrong input type. Given a real PsDataPointArray it builds exactly: 800x600x600 and 600x500x500.
#
# --- added 10/08/2026, after an independent survey found TWO MORE places carrying an already
# --- withdrawn claim that this list did not catch: one in Hebrew, one phrased differently in
# --- English. A stoplist is only as good as its synonyms.
# --- ⭐ WHEN YOU RETRACT SOMETHING, LIST EVERY WORDING OF IT, IN BOTH LANGUAGES.
#
2026-08-10	which moves nothing	TakeoverDrills moves real geometry -- a second English wording of the same withdrawn claim.
2026-08-10	לא מעביר כלום	TakeoverDrills מעביר גאומטריה אמיתית: changed=1 על שלוש קורות זהות. הניסוח העברי של אותה טענה.
2026-08-10	נבדק ב-5 רצפים	חמשת הרצפים רצו בלי התנאי המוקדם שהמדריך מציין. variant 1 לבדו נותן changed=1.
2026-08-10	5 סוגי חתכים בלבד מתוך 357	B.8 מצא 1890 חתכים נוספים ב-4 מאגרים לא-סטנדרטיים. 357 הוא חצי התמונה, לא כולה.
#
# --- added 10/08/2026, third pass. A fresh review found the SAME withdrawn claim under a THIRD
# --- wording, live in SKILL.md's top-of-file block: "Never fairly tested, worth three strikes:
# --- CreateRotation, CreateHull". The list said "never a fair test" and matched nothing.
# --- ⭐ A CLAIM IS NOT A SENTENCE, IT IS A FAMILY OF SENTENCES. Write down the family.
#
2026-08-10	Never fairly tested	CreateRotation and CreateHull were both closed on 10/08. A third wording of 'never a fair test'.
2026-08-10	never fairly tested	Same claim, lower case, as it appears in THE CEILING's section title.
#
# --- added 10/08/2026, B.20 audit.
# --- ⚠️ AND A LESSON ABOUT THIS FILE ITSELF. The first draft of these rows also listed the bare
# --- fragment "135 for two rows, 210 for three", and the guard immediately flagged B.19 for it.
# --- B.19 was then MEASURED rather than edited: its angles read L=135 / L=210 with a fixed
# --- L90x9 section, so B.19's sentence is TRUE and only B.20's was false. The over-broad row was
# --- withdrawn. ⭐ A retraction phrase must be narrow enough to catch only the false claim --
# --- a fragment shared with a true one turns the guard into a source of new errors.
#
2026-08-10	Plate length is derived from the bolt count	The LENGTH is 70 in both cases (props: 717 L=70 W=135, 71E L=70 W=210). The bolt count drives the SECTION WIDTH, which is the number the FL/BRFL/Plate decision is made on. B.20 audit.
2026-08-10	plate length is derived from the bolt count	Same claim, lower case.
2026-08-10	Both chapters share one derivation rule	They do not. A web angle is a CATALOGUE section cut to length (L90x9, L=135/210, section fixed). A shear plate is a section INVENTED per joint at a fixed 70 mm stick-out (L=70, W=135/210). That difference is exactly why the shear plate can miss stock and the angle cannot. B.20 audit.
#
# --- added 10/08/2026, B.23 audit. The binder claim, in every wording it was written in.
#
2026-08-10	no binder of any kind	PsTransaction.GetObject(Int64, PsOpenMode, PsGrid&) binds a live PsGrid to an existing Ks_Grid -- measured on grid 2F1, name='A' 24000x15000 read back. The binder is not on the class, it is on the transaction, and GetObject has 57 overloads. B.23 audit.
2026-08-10	neither a creator nor a binder	Same claim, second wording. The binder exists on PsTransaction.
2026-08-10	The two halves never meet	They meet through PsTransaction.GetObject. What is true is that the meeting point is LETHAL -- addUserXaxis on a bound grid killed AutoCAD twice, isolated.
2026-08-10	two halves never meet in the API	Same claim, third wording.
2026-08-11	"Model once, place it 40 times" -- the feature does not exist	D.2 BlockCenter IS that feature, and it is 3D. PsBlock.CreateBlockFile wrote a real 35,996-byte DWG from a 6-part selection; InsertBlock placed it; BlockExplode(keepProperties=true) returned 6 REAL Ks_Plate/Ks_Bolt with their 4 holes each, at the requested point, vfy_fit bolts=4 OK=4.
2026-08-11	There is no export-a-group-as-a-block	PsBlock.CreateBlockFile(PsSelection, dwgPath) does exactly that, measured 11/08/2026 in the D.02 band.
2026-08-11	is DetailCenter, i.e. 2D detailing output, not model reuse	D.2's blocks are ProSteel 3D blocks: the manual says an inserted block behaves as if built from individual components, and the explode was measured to yield real parts with holes.
2026-08-11	a member is JOINED if it carries bolt holes	Carrying holes is not being bolted. 14 plates whose boltparts had refused -- 4 holes each, zero bolts -- were all reported bolted by that definition. vfy_joined now requires a bolt through a hole and has a DRILLED-NOT-BOLTED state.
2026-08-12	sandbox.dwg הוא של אמיר	אמיר הבהיר ב-12/08/2026: הקובץ אינו שלו. מותר לפתוח, לערוך ולעבוד בו. הכלל נולד מציטוט מ-06/08 על סשן עבודה חי ("אל תסגור אותו") שהוכלל בטעות לכלל בעלות. הלקח שנשאר: לא סוגרים שרטוט שהמשתמש עובד בו כרגע.
2026-08-12	Amir's own drawing	Same retraction: Amir clarified 12/08/2026 that sandbox.dwg is not his file; the standing do-not-touch rule was withdrawn. The surviving lesson is only: never close a drawing the user is actively working in.
2026-08-13	the clear web is h - 2tf	The FLAT web is d = h - 2tf - 2r. For HE200A that is 134, not 170, so a 150 web plate rides 8 mm onto each root radius and its corners hover 1.88 mm. Measured against the catalogue values in the practice research; raised with Amir as a question, not a correction.
2026-08-13	the interruption of a crossing member is w/sin(phi)	That is only the first term and it ignores the width of the INTERRUPTED member, whose square end face has protruding corners. For equal widths the requirement is (w/2)*cot(phi/2) -- the naive form is short by the factor (1+cos phi), +53% at 58.11 degrees, and the collision count went 2 -> 0 when the full formula was applied. ⚠️ BOTH forms are valid: the square-cut end needs cot(phi/2), while an ANGLE-CUT end bedding on the crossing member face needs only w/sin(phi) -- Amir clarified that the angle-cut end is the shop practice.
2026-08-13	Amir practice M20 -> 23 mm hole conflicts with the software	No conflict existed: the wrong bolt STYLE was being used from code. Measured over 36 specimens -- 8.8S pairs on +2 (18/22/26) and refuses 19 and 23, while DIN7990 accepts 23 and returns M22. Amir then set the iron rule: 8.8S with hole = bolt + 2, which is exactly what the table builds.
2026-08-13	the drill flange selector 0 is the top flange	Measured on an upright HE200A drilling downward: flange=0 put the hole at z -95..-85, i.e. the BOTTOM flange; flange=1 put it at 85..95, the TOP one; flange=2 did both. The label in our own code was backwards, and that is why Amir could not drill the top flange of his splice.
2026-08-17	they cannot be told apart by name	Measured 17/08/2026 with two acad.exe running: the ROT lists the class moniker TWICE and BOTH entries bind to the SAME instance (identical HWND and document list) -- so "ask each one which drawings it holds" cannot happen. Only the earliest-registered instance is reachable; killing it made the other reachable within 12 s. findings/PARALLEL-MODELS.md.
2026-08-17	only by asking each one which drawings it holds	Same claim, second wording. Both ROT entries answer for one instance, so there is no second instance to ask.
2026-08-17	Two AutoCAD processes can be running at once and both are reachable	Only one is addressable over COM at any moment. The rest are invisible -- not merely indistinguishable.
2026-08-13	rot in the beam op reproduces the rotation number read from a dump	A rotation number is not a promise. His upright HE200A reads rot=90 in the dump while our beam op needs rot=0 for the same stance; a vertical HE300B is 300x300 so the envelope cannot testify at all. The witness is a probe hole depth: 11 mm = the web faces the ray, 300 mm = the flange does.
2026-08-18	The 112 holes missing from model 5 were destroyed by night_build's retry deleting hole fields and re-drilling a plate with flange=1	Refuted the same night by a single probe: drilling a stripped 6 mm plate with NO flange and no retry at all returned hosts_ok=0 failed=1 with holeFields=0 both before and after -- there was nothing there to destroy. The cause is that plate9 centres a plate about at= while the dialog-built plate carries its insertion point on an edge, so the material sits W/2 away in its own plane and the source coordinates fall outside the steel. All 112 misses are on off-centre plates; no centred plate lost a hole (332 landed, 0 missing).
2026-08-19	PsBendShape.ComputeObjectLength() is the call that killed AutoCAD in bendshapeinfo	Wrong suspect. Isolating the op by named probe showed ComputeObjectLength was never reached in the fatal run and that GetPolygon(PsPolygon3d) is the killer: probe=safe and probe=ref both return with the process alive, probe=path kills it. The family rule (compute*/check* are suspect) is a good prior and not evidence -- the isolation is the evidence.
2026-08-19	DIN7991 is installed and still refuses -- closed after five attempts; 306 of model 6's 526 bolts are unreachable from the API	False, and refuted the same morning four hours later. boltsingle (B.15.1's manual insertion, where from->to IS the grip) builds DIN7991 at every grip that has a row: M12 grip 10->x30, 20->x40, 30->x50, 45->x65, 60->x80, 65->x85, 70->x90, 90->x110, and only grip 75 refuses. A refused style is usually a refused GRIP. The grip that reproduces a bolt is grip = L - 1.6d (M12x90 -> 70.8, and 70 gives x90 exactly). bolts() falls back to boltsingle at that grip and model 6 now carries 526 of 526 bolts, 0 refused. CreateSingleBolt at a nominal LENGTH was never a test of a creator that wants a GRIP -- same cause as B.20's dia=22 dropping its bolts and B.15's ~400 silent failures: the bolt table is looked up by a number, and a value between rows yields no bolt.
2026-08-20	The two AcDb3dSolid on layer REFREG in model 5 are the existing situation as illustration -- not steel	They are the two REFRIGERATION UNITS -- the load the whole gallery exists to carry (the job is a gallery for air-conditioning units). Measured live in Amir's model on 20/08: 1223 x 4087 x 1400 mm each, base z 6456 and 6460, top 7856 and 7860, standing on the deck at 6606.5. The claim was written from a layer name that was read as scenery; one GetBoundingBox would have refuted it. REFREG = refrigeration.
2026-08-20	plate9 mode=poly re-centres the contour about at, so aim at the contour's bbox centre	Measured on the bridge model over 7,807 plates: aiming at org+centre put 6,762 of them out of place by EXACTLY the contour's own offset applied twice -- 89.0 mm on 1,368, 21.5 on 772, and 4543.5 mm where the contour runs x -5031..-4056. at = org lands every one at 0.0000. The two rules agree only for a contour symmetric about its origin, which is why models 1-6 never saw it.
2026-08-20	The Measurement Unit dialog cannot be dismissed programmatically	It can. BM_CLICK and WM_COMMAND/BN_CLICKED were the wrong mechanism (6 attempts, 10/08). SYNTHESIZED MOUSE INPUT works: BringWindowToTop + SetForegroundWindow, then SetCursorPos on the green tick and mouse_event down/up. Measured 20/08/2026 -- AutoCAD registered with COM seconds later and the session continued.
2026-08-20	A new drawing raises the Measurement Unit dialog and opening an existing drawing never asks	Opening an EXISTING drawing raised it too (connect_test.dwg, 20/08/2026). The trigger is a drawing that carries no persisted ProStructures unit setting, not the newness of the drawing.
2026-08-20	whoami tells you which drawing an op will run on	whoami is a DIAGNOSTIC: it goes to the shared mailbox and is not gated, so it answers for whatever document is in front. Measured 20/08/2026: it named the source while beams were landing correctly in the rebuild. Fire a gated op first (it activates the pin), then read eb_api._active_doc_name() through COM.
2026-08-20	xclone on a batch of dimensions HANGS AutoCAD in an endless loop and the session cannot be recovered	Refuted one hour later, the same evening: it RETURNED after ~40 minutes with the work done, and the same op then cloned 29 ProConcrete shapes, 18 assemblies, 6 work frames and the grid in 0.4-0.5 s each. It is a pathologically slow call on ANNOTATION, not a loop. ⭐ The spin signature (Responding=False, one core, flat memory) cannot tell a loop from a slow single-threaded call -- only whether it returns can, and that means waiting. Calling it fatal early cost the rest of the night's building.
2026-08-20	the plate re-place pass converged, so the plates are in the right place	The gates disproved it: 794 plates off position, and 794 of 794 were plates that pass had touched, all 794 carrying modifications -- while 5,875 modified plates it never touched are exact to 0.01 mm. The pass corrected against the source's bounding-box centre, which already includes the source's modifications, before the rebuild had them. Convergence proves a loop is stable, not that its target is right.
2026-08-21	the 1,086 misplaced holes in the bridge rebuild are a wrong-flange problem, fixable with the flange selector	Refuted twice. A per-hole test of flange=1/0/2/unset moved nothing (unset gained 178, the three selectors gained ZERO). The cause is the DRILL RAY: at=b with the ray reversed lands the hole exactly where the source has it, measured by hand on an HE300A (12619 instead of 12895). Applied to the 112 parts it corrected 644 of the 1,086. 442 holes on 71 parts answer to neither direction and remain unexplained.
2026-08-21	the 1,086 misplaced holes are a reversed-ray problem, fixed by drilling from at2 with -n	Refuted by measurement in a sandbox band the next morning. Reversing n moves the EXIT WALL too, so the hole swaps ends instead of arriving -- which is why that sweep 'corrected' 542 rays and drove the exact count DOWN (9,811 -> 9,337). The rule is: the hole lands in the wall where the ray LEAVES the part. Reproducing a hole a->b means aiming OUTWARD from its midpoint with depth=|a-b|; on an I-profile the drill always crosses the whole section and only SetHoleDepth (depth=, new in v198) confines it to a flange. That took the bridge from 1,112 wrong holes to 4.
2026-08-21	drill reports EB_OK, so the hole was created	drill counted the part's TOTAL holes (HolesOf) and called anything above zero a success, so a call that created NOTHING on a part that already had holes still reported EB_OK. 24 holes on 11 plates were reported drilled twice -- in a batch and again on an individual retry -- and none existed. v199 reports made=<delta on this call> and treats made=0 as EB_ERR.
2026-08-21	DoForAll consumes the PsSelection it walks, which is why the parts list came out empty	Refuted by v204: the walk was moved AFTER CreateMDBFile and onto a selection of its own, and the list was still empty. The real variable is the FIRST boolean of SelectAllObjects -- with it true the Partlist table is empty even while 19,897 parts are selected. ⭐ The version that "explains" a regression is a suspect, not a verdict: v201 changed two things at once and I read the coincidence as the cause.
2026-08-21	the 311 plates whose body differs from the source are wrong because the cut-plane FLAG was never transferred	Refuted by a clean A/B the same afternoon. On plate 4A88B3 the uncut body is y=617.545; flag=0 and flag=1 BOTH give 546.224 and BOTH store Flag=1 -- PsCutObjects overwrites it, and a fresh read shows 4,459 rebuild planes at Flag=1 against the source's 2,790 at Flag=0. ⭐ What actually halved the error (148 of 232 parts, summed 1,693.7 -> 931.6 mm) is the ORDER: the build applied cut planes before the facets, holes and poly-cuts existed, and re-applying the same plane to the fully-modified body cuts differently. Modification order is part of the geometry. The remainder is not cuts at all -- the uncut body is 617.545 where the source's finished plate is 522.451 and its one plane removes 71.3.
2026-08-21	8.8S accepts only grip 24 for M12 and grips 40-400 are all REFUSED, so the long bolts are unreachable	True for M12 and false in general. Reading AS_Bolt_88s out of Australia.mdb with the 32-bit Jet provider shows M12 ends at 60 mm -- which is why grips above ~38 refuse -- while M16/M20/M24 run to 600. M20 took grip 84 (-> x120) and M24 took 277.5 (-> x330) first try. The length is not a parameter at all: it is selected by the grip through the table's KLEMMMIN/KLEMMMAX band, so grip = band midpoint - DELTA(diameter) hits any listed length exactly. 14/14 on the bridge's designations, 5,405 bolts rebuilt with the source's exact length spectrum.
2026-08-21	model 3 is repaired when dumppoly reads nonrect=132 on both drawings	Unreachable by construction. dumppoly's nonrect counter reads pl.RectangleMode -- a stored creation flag, not a shape test -- and the property is READ ONLY (csc CS0200 on EBAgentApi210.cs). A plate born rectangular reads nonrect=0 however correct its contour is. The gate that works is a world-space contour comparison against the source: measured 0.0000 mm on all 132.
